order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price,amount,channel,status
O002282,2024-01-01,C0156,P0009,장구 무선 핸디 청소기,가전,1,109650,109650,웹,배송완료
O000533,2024-01-03,C0064,P0030,리빙 대용량 식기건조대,생활용품,1,35000,35000,앱,배송완료
O000322,2024-01-04,C0083,P0012,장구 초고속 블렌더 1200W,가전,3,119000,357000,웹,배송완료
O000991,2024-01-04,C0144,P0002,승승 노이즈캔슬링 헤드폰 Pro,전자기기,1,219000,219000,전화,결제완료
O001859,2024-01-04,C0165,P0019,뷰티풀 수분 진정 토너 300ml,뷰티,1,24000,24000,앱,배송완료
O000853,2024-01-05,C0061,P0010,장구 공기청정기 미세 30평형,가전,1,279650,279650,전화,배송완료
O001212,2024-01-05,C0049,P0012,장구 초고속 블렌더 1200W,가전,1,119000,119000,웹,배송완료
O002077,2024-01-05,C0097,P0013,장구 전기포트 1.7L 온도조절,가전,1,49000,49000,앱,취소
O000056,2024-01-06,C0001,P0002,승승 노이즈캔슬링 헤드폰 Pro,전자기기,1,186150,186150,웹,배송완료
O000892,2024-01-08,C0088,P0020,뷰티풀 비타민C 세럼 30ml,뷰티,3,27200,81600,웹,배송중
O000757,2024-01-09,C0135,P0010,장구 공기청정기 미세 30평형,가전,2,296100,592200,웹,환불
O001485,2024-01-09,C0052,P0010,장구 공기청정기 미세 30평형,가전,1,296100,296100,웹,배송완료
O002229,2024-01-09,C0127,P0038,북하우스 코딩 입문 자습서,도서,1,22400,22400,웹,배송완료
O001224,2024-01-10,C0132,P0034,스포라이프 조절식 덤벨 24kg,스포츠레저,1,143100,143100,웹,배송완료
O001548,2024-01-10,C0126,P0022,뷰티풀 콜라겐 수분크림,뷰티,1,29000,29000,앱,취소
O001555,2024-01-10,C0179,P0024,승승 유기농 견과류 믹스 1kg,식품,2,23000,46000,전화,배송완료
O002339,2024-01-10,C0081,P0037,북하우스 베스트셀러 소설 세트,도서,1,37800,37800,웹,배송중
O000541,2024-01-11,C0073,P0011,장구 에어프라이어 5.5L,가전,1,89000,89000,전화,배송완료
O000628,2024-01-11,C0085,P0021,뷰티풀 자외선차단 선크림 SPF50,뷰티,1,19000,19000,전화,배송완료
O001765,2024-01-11,C0058,P0038,북하우스 코딩 입문 자습서,도서,2,28000,56000,전화,배송완료
O001808,2024-01-11,C0120,P0007,승승 4K 웹캠 스트리머,전자기기,1,84150,84150,웹,배송완료
O002322,2024-01-11,C0053,P0033,스포라이프 요가매트 10mm,스포츠레저,2,32000,64000,웹,배송완료
O000392,2024-01-12,C0054,P0013,장구 전기포트 1.7L 온도조절,가전,1,49000,49000,앱,배송완료
O000618,2024-01-12,C0135,P0030,리빙 대용량 식기건조대,생활용품,3,31500,94500,웹,배송완료
O002019,2024-01-12,C0040,P0020,뷰티풀 비타민C 세럼 30ml,뷰티,1,28900,28900,웹,결제완료
O002298,2024-01-12,C0155,P0039,북하우스 어린이 그림책 10권,도서,1,89000,89000,웹,배송완료
O000261,2024-01-14,C0088,P0010,장구 공기청정기 미세 30평형,가전,1,329000,329000,앱,환불
O000321,2024-01-14,C0173,P0022,뷰티풀 콜라겐 수분크림,뷰티,2,29000,58000,전화,배송중
O000247,2024-01-15,C0022,P0020,뷰티풀 비타민C 세럼 30ml,뷰티,5,34000,170000,앱,배송완료
O000374,2024-01-16,C0161,P0023,승승 프리미엄 원두커피 1kg,식품,1,28000,28000,앱,배송완료
O001663,2024-01-16,C0096,P0032,리빙 스테인리스 텀블러 500ml,생활용품,2,22000,44000,앱,배송완료
O000815,2024-01-17,C0024,P0029,리빙 극세사 베개 2개세트,생활용품,1,29000,29000,웹,환불
