product_id,product_name,stock,warehouse,reorder_level
P0001,승승 무선 블루투스 이어버드 SE,225,서울물류,30
P0002,승승 노이즈캔슬링 헤드폰 Pro,92,부산물류,20
P0003,승승 스마트워치 Fit 5,3,부산물류,30
P0004,승승 고속충전 보조배터리 20000mAh,358,부산물류,30
P0005,승승 USB-C 멀티허브 7in1,57,부산물류,30
P0006,승승 기계식 게이밍 키보드,316,대전물류,20
P0007,승승 4K 웹캠 스트리머,134,서울물류,20
P0008,장구 로봇청소기 CleanX,134,부산물류,10
P0009,장구 무선 핸디 청소기,302,서울물류,10
P0010,장구 공기청정기 미세 30평형,330,대전물류,30
P0011,장구 에어프라이어 5.5L,127,대전물류,20
P0012,장구 초고속 블렌더 1200W,330,대전물류,10
P0013,장구 전기포트 1.7L 온도조절,8,서울물류,10
P0014,승승 데일리 코튼 후드티,337,서울물류,20
P0015,승승 경량 패딩 점퍼,15,서울물류,30
P0016,승승 슬림핏 청바지,141,서울물류,10
P0017,승승 베이직 무지 티셔츠 3팩,225,서울물류,20
P0018,승승 방수 트레킹 자켓,218,서울물류,10
P0019,뷰티풀 수분 진정 토너 300ml,127,대전물류,30
P0020,뷰티풀 비타민C 세럼 30ml,323,서울물류,10
P0021,뷰티풀 자외선차단 선크림 SPF50,99,대전물류,10
P0022,뷰티풀 콜라겐 수분크림,393,부산물류,10
P0023,승승 프리미엄 원두커피 1kg,204,서울물류,10
P0024,승승 유기농 견과류 믹스 1kg,176,부산물류,10
P0025,승승 현미 잡곡 10kg,155,부산물류,10
P0026,승승 콜드브루 스틱 30개입,36,부산물류,30
P0027,승승 단백질 쉐이크 2kg,393,서울물류,20
P0028,리빙 4계절 차렵이불 퀸,113,대전물류,30
P0029,리빙 극세사 베개 2개세트,323,서울물류,30
P0030,리빙 대용량 식기건조대,29,대전물류,10
P0031,리빙 친환경 주방세제 리필 5L,302,서울물류,20
P0032,리빙 스테인리스 텀블러 500ml,330,서울물류,10
P0033,스포라이프 요가매트 10mm,176,부산물류,20
P0034,스포라이프 조절식 덤벨 24kg,372,대전물류,20
P0035,스포라이프 등산 스틱 한쌍,372,대전물류,10
P0036,스포라이프 러닝화 클라우드,169,서울물류,20
P0037,북하우스 베스트셀러 소설 세트,330,서울물류,10
P0038,북하우스 코딩 입문 자습서,120,서울물류,30
P0039,북하우스 어린이 그림책 10권,134,부산물류,20
P0040,북하우스 자기계발 다이어리 2026,351,서울물류,30
